season,winner,wins,rank
2007/08,Rajasthan Royals,13,1
2007/08,Kings XI Punjab,10,2
2007/08,Chennai Super Kings,9,3
2007/08,Delhi Daredevils,7,4
2007/08,Mumbai Indians,7,5
2007/08,Kolkata Knight Riders,6,6
2007/08,Royal Challengers Bangalore,4,7
2007/08,Deccan Chargers,2,8
2009,Delhi Daredevils,10,1
2009,Deccan Chargers,9,2
2009,Royal Challengers Bangalore,9,3
2009,Chennai Super Kings,8,4
2009,Kings XI Punjab,7,5
2009,Rajasthan Royals,6,6
2009,Mumbai Indians,5,7
2009,Kolkata Knight Riders,3,8
2009/10,Mumbai Indians,11,1
2009/10,Chennai Super Kings,9,2
2009/10,Deccan Chargers,8,3
2009/10,Royal Challengers Bangalore,8,4
2009/10,Delhi Daredevils,7,5
2009/10,Kolkata Knight Riders,7,6
2009/10,Rajasthan Royals,6,7
2009/10,Kings XI Punjab,4,8
2011,Chennai Super Kings,11,1
2011,Mumbai Indians,10,2
2011,Royal Challengers Bangalore,10,3
2011,Kolkata Knight Riders,8,4
2011,Kings XI Punjab,7,5
2011,Deccan Chargers,6,6
2011,Kochi Tuskers Kerala,6,7
2011,Rajasthan Royals,6,8
2011,Delhi Daredevils,4,9
2011,Pune Warriors,4,10
2012,Kolkata Knight Riders,12,1
2012,Delhi Daredevils,11,2
2012,Chennai Super Kings,10,3
2012,Mumbai Indians,10,4
2012,Kings XI Punjab,8,5
2012,Royal Challengers Bangalore,8,6
2012,Rajasthan Royals,7,7
2012,Deccan Chargers,4,8
2012,Pune Warriors,4,9
2013,Mumbai Indians,13,1
2013,Chennai Super Kings,12,2
2013,Rajasthan Royals,11,3
2013,Sunrisers Hyderabad,10,4
2013,Royal Challengers Bangalore,9,5
2013,Kings XI Punjab,8,6
2013,Kolkata Knight Riders,6,7
2013,Pune Warriors,4,8
2013,Delhi Daredevils,3,9
2014,Kings XI Punjab,12,1
2014,Kolkata Knight Riders,11,2
2014,Chennai Super Kings,10,3
2014,Mumbai Indians,7,4
2014,Rajasthan Royals,7,5
2014,Sunrisers Hyderabad,6,6
2014,Royal Challengers Bangalore,5,7
2014,Delhi Daredevils,2,8
2015,Chennai Super Kings,10,1
2015,Mumbai Indians,10,2
2015,Royal Challengers Bangalore,8,3
2015,Kolkata Knight Riders,7,4
2015,Rajasthan Royals,7,5
2015,Sunrisers Hyderabad,7,6
2015,Delhi Daredevils,5,7
2015,Kings XI Punjab,3,8
2016,Sunrisers Hyderabad,11,1
2016,Gujarat Lions,9,2
2016,Royal Challengers Bangalore,9,3
2016,Kolkata Knight Riders,8,4
2016,Delhi Daredevils,7,5
2016,Mumbai Indians,7,6
2016,Rising Pune Supergiants,5,7
2016,Kings XI Punjab,4,8
2017,Mumbai Indians,12,1
2017,Rising Pune Supergiant,10,2
2017,Kolkata Knight Riders,9,3
2017,Sunrisers Hyderabad,8,4
2017,Kings XI Punjab,7,5
2017,Delhi Daredevils,6,6
2017,Gujarat Lions,4,7
2017,Royal Challengers Bangalore,3,8
2018,Chennai Super Kings,11,1
2018,Sunrisers Hyderabad,10,2
2018,Kolkata Knight Riders,9,3
2018,Rajasthan Royals,7,4
2018,Kings XI Punjab,6,5
2018,Mumbai Indians,6,6
2018,Royal Challengers Bangalore,6,7
2018,Delhi Daredevils,5,8
2019,Mumbai Indians,11,1
2019,Chennai Super Kings,10,2
2019,Delhi Capitals,10,3
2019,Kings XI Punjab,6,4
2019,Kolkata Knight Riders,6,5
2019,Sunrisers Hyderabad,6,6
2019,Rajasthan Royals,5,7
2019,Royal Challengers Bangalore,5,8
2020/21,Mumbai Indians,11,1
2020/21,Delhi Capitals,9,2
2020/21,Sunrisers Hyderabad,8,3
2020/21,Kolkata Knight Riders,7,4
2020/21,Royal Challengers Bangalore,7,5
2020/21,Chennai Super Kings,6,6
2020/21,Kings XI Punjab,6,7
2020/21,Rajasthan Royals,6,8
2021,Chennai Super Kings,11,1
2021,Delhi Capitals,10,2
2021,Kolkata Knight Riders,9,3
2021,Royal Challengers Bangalore,9,4
2021,Mumbai Indians,7,5
2021,Punjab Kings,6,6
2021,Rajasthan Royals,5,7
2021,Sunrisers Hyderabad,3,8
2022,Gujarat Titans,12,1
2022,Rajasthan Royals,10,2
2022,Lucknow Super Giants,9,3
2022,Royal Challengers Bangalore,9,4
2022,Delhi Capitals,7,5
2022,Punjab Kings,7,6
2022,Kolkata Knight Riders,6,7
2022,Sunrisers Hyderabad,6,8
2022,Chennai Super Kings,4,9
2022,Mumbai Indians,4,10
2023,Gujarat Titans,11,1
2023,Chennai Super Kings,10,2
2023,Mumbai Indians,9,3
2023,Lucknow Super Giants,8,4
2023,Rajasthan Royals,7,5
2023,Royal Challengers Bangalore,7,6
2023,Kolkata Knight Riders,6,7
2023,Punjab Kings,6,8
2023,Delhi Capitals,5,9
2023,Sunrisers Hyderabad,4,10
2024,Kolkata Knight Riders,11,1
2024,Rajasthan Royals,9,2
2024,Sunrisers Hyderabad,9,3
2024,Chennai Super Kings,7,4
2024,Delhi Capitals,7,5
2024,Lucknow Super Giants,7,6
2024,Royal Challengers Bengaluru,7,7
2024,Gujarat Titans,5,8
2024,Punjab Kings,5,9
2024,Mumbai Indians,4,10
